"","1991","2000","2009","2010"
"Skupaj",19324,18588,18750,18609
"  moški",9798,9557,9293,9292
"  ženske",9526,9031,9457,9317
"Umrli dojenèki",178,89,52,56
"  deèki",117,52,25,24
"  deklice",61,37,27,32
"Umrli na 1000 prebivalcev",9.7,9.3,9.2,9.1
"Umrli dojenèki na 1000 živorojenih",8.2,4.9,2.4,2.5
"Povpreèna starost umrlih - moški",65.4,67.2,70.1,70.7
"Povpreèna starost umrlih - ženske",75,75.6,79.1,79.3
"Prièakovano trajanje življenja - moški",69.5,71.9,75.8,76.3
"Prièakovano trajanje življenja - ženske",77.4,79.1,82.3,82.7
